name,type,rating,count,address,comment,lat,lon,geometry
Saigon Skydeck,Điểm thu hút khách du lịch,4.4,12000.0,"36 Hồ Tùng Mậu, Quận 1, Thành phố Hồ Chí Minh",Lên đây  trung tâm thành phố đẹp xuất sắc luôn.,10.772201487729683,106.7037265920703,POINT (106.7037265920703 10.772201487729683)
Phúc Long Coffee & Tea Express,Quán cà phê,4.0,2200.0,"159 Nguyễn Thái Học, Quận 1, Thành phố Hồ Chí Minh","Mình đi tầm 10h sáng, lượng khách vừa phải, bàn ghế còn nhiều chỗ trống.",10.7682234,106.6952198,POINT (106.6952198 10.7682234)
Phúc Long Coffee & Tea,Quán cà phê,4.1,1700.0,"26 Huỳnh Thúc Kháng, Quận 1, Thành phố Hồ Chí Minh","Chất lượng trà sữa vẫn giữ hương vị đậm đà, ngọt vừa phải và rất dễ uống.",10.7728667,106.7026357,POINT (106.7026357 10.7728667)
The Coffee Bean & Tea Leaf Nguyễn Huệ,Quán cà phê,4.2,624.0,"101 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh","bình thường, chỉ được view đẹp",10.773504,106.703873,POINT (106.703873 10.773504)
Highlands Coffee,Quán cà phê,3.5,113.0,"97 Mạc Thị Bưởi, Quận 1, Thành phố Hồ Chí Minh",phố đi bộ Nguyễn Huệ rất lý tưởng nhe.,10.774578004266932,106.7040309980004,POINT (106.7040309980004 10.774578004266932)
Kerlan Kafe,Quán cà phê,4.1,23.0,"Saigon ward, 20A Đ. Lê Văn Hưu, Quận 1, Thành phố Hồ Chí Minh","Quán thường ngồi mỗi ngày, cf ngon anh chủ thân thiện",10.78191468964502,106.7009415944887,POINT (106.7009415944887 10.78191468964502)
Thế Giới Tàu Hũ,Quán cà phê,4.2,1000.0,"122D Trần Đình Xu, Quận 1, Thành phố Hồ Chí Minh","Ăn thường xuyên, menu đa dạng, quán decor đẹp.",10.7624315,106.6885578,POINT (106.6885578 10.7624315)
Xanh Mori Cà Phê,Quán cà phê,5.0,8.0,"50 Tôn Thất Đạm, Quận 1, Thành phố Hồ Chí Minh",không có đánh giá,10.77193714748225,106.70299040119517,POINT (106.70299040119517 10.77193714748225)
Phuc Long Tea & Coffee,Quán cà phê,4.1,1800.0,"42 Ngô Đức Kế, Quận 1, Thành phố Hồ Chí Minh","Nhân viên chỉ cởi mở với những khách nước ngoài, mặc đồ sang trọng.",10.773851909363788,106.70574269708723,POINT (106.70574269708723 10.773851909363788)
Phúc Long Coffee & Tea – Phạm Hồng Thái,Quán cà phê,4.0,1500.0,"42A Phạm Hồng Thái, Quận 1, Thành phố Hồ Chí Minh","Nước ngon, nhân viên thân thiện,có lầu tầng 2 khá thoáng",10.7712568,106.6949358,POINT (106.6949358 10.7712568)
The View Rooftop Bar,Nhà hàng,4.6,4400.0,"On the 9th floor of Duc Vuong Hotel, 195 Bùi Viện, Quận 1, Thành phố Hồ Chí Minh","Đồ uống ngon, cocktails vị tốt, view siêu đẹp",10.7664402,106.6917847,POINT (106.6917847 10.7664402)
Mary Jane’s The Bar,Quán bar cocktail,4.8,62.0,"85 Nguyễn Hữu Cầu, Quận 1, Thành phố Hồ Chí Minh","View đẹp, nước ngon, nhân viên dễ thương",10.790648,106.69085,POINT (106.69085 10.790648)
Phuc Long Coffee & Tea Express,Quán cà phê,4.1,943.0,"63 Mạc Thị Bưởi, Quận 1, Thành phố Hồ Chí Minh",Buổi sáng cuối tuần ngồi lề đường rất chill,10.7748712,106.7043108,POINT (106.7043108 10.7748712)
Simple Joy - Tea&Coffee,Quán cà phê,3.6,20.0,"12BIS Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh","Chủ quán cute, nhân viên nhiệt tình.",10.7734608993639,106.70407803768192,POINT (106.70407803768192 10.7734608993639)
innominatus speciality coffee,Quán cà phê,4.8,63.0,"42 Đ. Tôn Thất Thiệp, Quận 1, Thành phố Hồ Chí Minh","Cà phê Liberica ngon, lạ, uống với sữa 10/10",10.77372435,106.70229884950933,POINT (106.70229884950933 10.77372435)
Buffet Liberty Central Saigon Riverside,Nhà hàng,4.3,209.0,"17 Tôn Đức Thắng, Quận 1, Thành phố Hồ Chí Minh","Món ăn không nhiều, tương xứng với giá tiền nhưng cũng khá chất lượng.",10.7740769,106.70626204068084,POINT (106.70626204068084 10.7740769)
Cafe Paul 1932,Quán cà phê,4.2,100.0,"5/7 Nguyễn Siêu, Quận 1, Thành phố Hồ Chí Minh",Menu ở đây đa dạng trà bánh  giá khá ok.nước ở đây làm ngon.,10.779571952248816,106.70616756827832,POINT (106.70616756827832 10.779571952248816)
Starbucks mPlaza Sài Gòn,Quán cà phê,4.3,1500.0,"mPlaza, 39 Lê Duẩn, Quận 1 Mặt, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh","Quán này mình hay ra vào cuối tuần để học, không gian khá chill.",10.780988,106.700544,POINT (106.700544 10.780988)
Casita Hotel Restaurant,Quán cà phê,4.2,22.0,"131 Bùi Viện, Quận 1, Thành phố Hồ Chí Minh",không có đánh giá,10.7667178,106.6924103,POINT (106.6924103 10.7667178)
Khu Ẩm Thực Công Viên Bách Tùng Diệp,Khu ăn uống,3.8,8.0,"120 Nam Kỳ Khởi Nghĩa, Quận 1, Thành phố Hồ Chí Minh","Nếu có dịp, bạn nên ghé thăm và thưởng thức món ăn này.",10.7766002,106.6987085,POINT (106.6987085 10.7766002)
Dynasty House (Phùng Khắc Khoan),Nhà hàng,4.5,415.0,"40 Phùng Khắc Khoan, Quận 1, Thành phố Hồ Chí Minh","Thức ăn ngon, phục vụ tận tình
Mức giá ổn so với chất lượng",10.78422450282698,106.69831980263332,POINT (106.69831980263332 10.78422450282698)
Quán ăn ngon Sài Gòn,Nhà hàng,4.0,964.0,"138 Nam Kỳ Khởi Nghĩa, Quận 1, Thành phố Hồ Chí Minh",Món ăn đã được thay đổi cho phù hợp với khẩu vị  khách miền Nam.,10.7775622,106.6975402,POINT (106.6975402 10.7775622)
Hua Wu Lou - Dimsum Street Chi Nhánh 2 - 83B Bùi Thị Xuân,Nhà hàng,3.9,535.0,"83B Bùi Thị Xuân, Quận 1, Thành phố Hồ Chí Minh",Nhiều đồ chiên xào nên những ai không quen ăn dầu mỡ sẽ hơi ngán.,10.7682523,106.6868828,POINT (106.6868828 10.7682523)
Chill Thái,Món ăn Thái Lan,4.8,3500.0,"163 Cô Giang, Quận 1, Thành phố Hồ Chí Minh","Các món ăn đều rất ngon, mang đến hương vị đích  của  Thái.",10.763026,106.694805,POINT (106.694805 10.763026)
Ẩm Thực Chay An,Món chay,4.6,115.0,"30 Thái Văn Lung, Quận 1, Thành phố Hồ Chí Minh","Thức ăn ở nhà hàng bưng ra bàn vẫn còn nóng, ngon vừa khẩu vị của mình.",10.7802209,106.7034934,POINT (106.7034934 10.7802209)
Cháo sườn chú Chen,Món ăn Đài Loan,4.2,972.0,"281 Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh","đồ ăn ngon , lên món nhanh nhân viên hỗ trợ nhiệt tình vui vẽ hiếu khách",10.7629712,106.6867842,POINT (106.6867842 10.7629712)
Gánh - Truly Vietnamese Cuisine,Nhà hàng,4.5,1900.0,"91 Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh","Nhân viên thân thiện dễ thương, đồ ăn ngon vừa miệng.",10.7771641,106.7043101,POINT (106.7043101 10.7771641)
Ẩm Thực Đường Phố,Phở,4.1,20.0,"177 Bùi Viện, Quận 1, Thành phố Hồ Chí Minh",không có đánh giá,10.7665376,106.6920037,POINT (106.6920037 10.7665376)
Nhà hàng Tân Hải Vân,Nhà hàng Trung Quốc,4.3,3200.0,"152 Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh",Đi nhóm ăn nhiều món sẽ có trải nghiệm tốt nhất.,10.7656754,106.6878508,POINT (106.6878508 10.7656754)
Tung's Restaurant - Vietnamese Cuisine & vegetarian Food,Nhà hàng Việt Nam,4.9,9300.0,"230 Đường Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh",không có đánh giá,10.7723915,106.6964558,POINT (106.6964558 10.7723915)
Nhà hàng Trung Hoa SHANG GARDEN DYNASTY,Nhà hàng,4.3,214.0,"1A Tôn Thất Tùng, Quận 1, Thành phố Hồ Chí Minh","Thức ăn ổn , không gian đẹp thích hợp cho gia đình đến ăn.",10.768614,106.688957,POINT (106.688957 10.768614)
Bơ by Butterman,Tiệm bánh,4.7,335.0,"67 Lê Thị Riêng, Quận 1, Thành phố Hồ Chí Minh",Còn về cookie ngoài vị matcha thì những vị khác cũng k ấn tượng lắm.,10.771362,106.6916341,POINT (106.6916341 10.771362)
Ẩm thực chay Amitaba,Đồ chay,4.4,436.0,"40 Nguyễn Thái Học, Quận 1, Thành phố Hồ Chí Minh",Một nhà hàng chay nấu khá ngon với  đơn rất nhiều món.,10.7654841,106.6968486,POINT (106.6968486 10.7654841)
Dim Tu Tac,Món ăn Quảng Đông,4.2,3000.0,"55 Đông Du, Quận 1, Thành phố Hồ Chí Minh","Thức ăn tạm ổn, không chê cũng không khen.",10.775592,106.7043981,POINT (106.7043981 10.775592)
